id,ticket_id,subject,body,category
1,TCK-3170,API returning timeout errors,I requested a password reset link three times but never received the email. Can someone manually reset my password or check the email delivery?,Technical
2,TCK-3438,Inquiry about your privacy policy,Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.,General
3,TCK-3157,Sync issue between mobile and desktop,"Hi, this is Carlos. Data I enter on the mobile app isn't syncing with the desktop version of the admin console. Changes made on one device don't appear on the other.",Technical
4,TCK-3462,Suggestion for a new feature,Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.,General
5,TCK-3440,Request for a company brochure,Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.,General
6,TCK-3382,Clarification on remote work policy,"I submitted a reimbursement claim for $214.97 on April 2, but it still shows as pending after two weeks. Could you check the status?",HR
7,TCK-3278,Clarification on remote work policy,I joined the company last week but still haven't received my onboarding documents. Could someone resend them to my email?,HR
8,TCK-3344,Update on my promotion paperwork,"Hi, this is Jordan. Could you please send me a copy of my original offer letter? I need it for a visa application.",HR
9,TCK-3287,Onboarding documents not received,There seems to be a discrepancy in my attendance records for February; a few days I worked from the office are marked as absent.,HR
10,TCK-3511,Media inquiry for an interview,"Hi, this is Layla. I have a general question about how the web dashboard works and whether it would be a good fit for a small team like ours.",General
11,TCK-3077,Late fee charged despite on-time payment,"Hi, this is Fatima. The currency conversion on my latest invoice looks off; it shows $409.30 instead of the expected amount in USD. Please check.",Billing
12,TCK-3249,Slow performance on the billing portal,"the API has become extremely slow over the past few days, taking over a minute to load simple pages.",Technical
13,TCK-3296,Requesting update to my personal details,"Hi, this is Noah. Could HR please issue an employment verification letter for me? I need it for a loan application by March 18.",HR
14,TCK-3028,Downgrade my plan and adjust billing,I have not received an invoice for December yet. Could you please send it to my registered email as soon as possible?,Billing
15,TCK-3457,How do I contact the sales team?,I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?,General
16,TCK-3533,Requesting a product demo,I wanted to share some feedback about my recent experience with your team; overall it was positive but there is room for improvement in response time.,General
17,TCK-3417,Inquiry about your privacy policy,"Hi, this is Priya. Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
18,TCK-3058,Missing invoice for June,"Hi, this is Ethan. I cancelled my subscription last month, but I was still billed $127.73 on April 23. Please refund this charge and confirm the cancellation.",Billing
19,TCK-3035,Need invoice reissued with correct company name,I upgraded my plan mid-cycle and I'm confused about the prorated charge of $66.72. Could you explain how this was calculated?,Billing
20,TCK-3488,Inquiry about career opportunities,I wanted to share some feedback about my recent experience with your team; overall it was positive but there is room for improvement in response time.,General
21,TCK-3333,Question about health insurance enrollment,"Hi, this is Isabella. I submitted a reimbursement claim for $212.09 on October 19, but it still shows as pending after two weeks. Could you check the status?",HR
22,TCK-3300,Question about my leave balance,"Hi, this is Layla. I joined the company last week but still haven't received my onboarding documents. Could someone resend them to my email?",HR
23,TCK-3385,Request for employment verification letter,Could you please send me a copy of my original offer letter? I need it for a visa application.,HR
